location
WARRIGAL_RD N of HIGH STREET_RD
HIGH STREET_RD E of WARRIGAL_RD
WARRIGAL_RD S of HIGH STREET_RD
HIGH STREET_RD W of WARRIGAL_RD
WARRIGAL_RD N of TOORAK_RD
BURWOOD_HWY E of WARRIGAL_RD
WARRIGAL_RD S of BURWOOD_HWY
TOORAK_RD W of WARRIGAL_RD
UNION_RD N of MAROONDAH_HWY
MAROONDAH_HWY E of UNION_RD
UNION_RD S of MAROONDAH_HWY
MAROONDAH_HWY W of UNION_RD
EARL_ST SE of PRINCESS_ST
PRINCESS_ST S of CHANDLER_HWY
BURKE_RD S of EASTERN_FWY
BULLEEN_RD N of THOMPSONS_RD
OFFRAMP_EASTERN_FWY E of BULLEEN_RD
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS
OFFRAMP_EASTERN_FWY W of BULLEEN_RD
S.E.ARTERIAL N OF HIGH_ST
HIGH_ST E OF S.E.ARTERIAL
HIGH_ST W OF WILLS_ST
WILLS_ST NW OF HIGH_ST
HIGH_ST NE of BARKERS_RD
BARKERS_RD E of HIGH_ST
BARKERS_RD W of CHURCH_ST
CHURCH_ST SW of BARKERS_RD
DENMARK_ST N of BARKERS_RD
BARKERS_RD E of DENMARK_ST
POWER_ST S of BARKERS_RD
BARKERS_RD W of DENMARK_ST
BURKE_RD N of CANTERBURY_RD
CANTERBURY_RD E of BURKE_RD
BURKE_RD S of CANTERBURY_RD
RATHMINES_RD W of BURKE_RD
CANTERBURY_RD E of STANHOPE_GV
STANHOPE_GV S of CANTERBURY_RD
CANTERBURY_RD W of STANHOPE_GV
CANTERBURY_RD E of WARRIGAL_RD
WARRIGAL_RD S of CANTERBURY_RD
CANTERBURY_RD W of WARRIGAL_RD
BALWYN_RD N of CANTERBURY_RD
CANTERBURY_RD E of BALWYN_RD
CANTERBURY_RD W of BALWYN_RD
DONCASTER_RD E of BALWYN_RD
BALWYN_RD S of DONCASTER_RD
DONCASTER_RD W of BALWYN_RD
PRINCESS_ST N of HIGH_ST
HIGH_ST NE of PRINCESS_ST
HIGH_ST SW of DENMARK_ST
STUDLEY PARK_RD W of PRINCESS_ST
WARRIGAL_RD N OF RIVERSDALE_RD
RIVERSDALE_RD E OF WARRIGAL_RD
WARRIGAL_RD S OF RIVERSDALE_RD
RIVERSDALE_RD W OF WARRIGAL_RD
WARRIGAL_RD N of HIGHBURY_RD
HIGHBURY_RD E of WARRIGAL_RD
WARRIGAL_RD S of HIGHBURY_RD
TRAFALGAR_RD N of RIVERSDALE_RD
RIVERSDALE_RD E of TRAFALGAR_RD
TRAFALGAR_RD S of RIVERSDALE_RD
RIVERSDALE_RD W of TRAFALGAR_RD
TRAFALGAR_RD NE of CAMBERWELL_RD
CAMBERWELL_RD SE of TRAFALGAR_RD
SEYMOUR_GV W of CAMBERWELL_RD
CAMBERWELL_RD NW of TRAFALGAR_RD
BURKE_RD S of DONCASTER_RD
HIGH_ST SW of BURKE_RD
KILBY_RD W of BURKE_RD
BURKE_RD N of HARP_RD
BELMORE_RD E of BURKE_RD
BURKE_RD S of HARP_RD
HARP_RD W of BURKE_RD
BURKE_RD N OF WHITEHORSE_RD
WHITEHORSE_RD E OF BURKE_RD
BURKE_RD S OF WHITEHORSE_RD
COTHAM_RD W OF BURKE_RD
BURKE_RD N of MONT ALBERT_RD
MONT ALBERT_RD E of BURKE_RD
BURKE_RD S of BARKERS_RD
BARKERS_RD W of BURKE_RD
BURKE_RD N of RIVERSDALE_RD
RIVERSDALE_RD E of BURKE_RD
